コンテキスト	情報	属性	関連情報	説明	状態モデル	バリエーション
スタッフ・権限管理	スタッフ	スタッフID、名前、メールアドレス、パスワード（ハッシュ化）、連絡先、所属部門、登録日、最終ログイン日時	権限、施設	システムへのログイン認証、担当施設へのアクセス制限、権限による機能制限に活用
スタッフ・権限管理	権限	権限ロールID、ロール名、利用可能機能リスト、表示可能項目リスト、説明	スタッフ	スタッフの機能アクセス制御、画面項目の表示制御に活用		権限ロール
施設・部屋管理	施設	施設ID、施設名、住所、郵便番号、電話番号、アクセス方法、チェックイン時刻、チェックアウト時刻、施設説明、登録日	部屋タイプ、部屋、スタッフ、外部連携設定	施設情報の表示、複数施設管理、外部システム連携の識別に活用
施設・部屋管理	部屋タイプ	部屋タイプID、タイプ名、所属施設ID、収容可能人数、最小人数、喫煙可否、ベッドタイプ、ベッド数、設備リスト、広さ、基準料金、説明	施設、部屋、レートプラン、在庫	予約時の部屋選択、料金設定、在庫管理の単位として活用		ベッドタイプ、喫煙可否
施設・部屋管理	部屋	部屋ID、部屋番号、所属施設ID、部屋タイプID、外部連携用ID、フロア、設備特記事項、登録日	施設、部屋タイプ、部屋状態、清掃、予約	実際の部屋割り当て、清掃管理、外部システム連携での部屋特定に活用	部屋状態	部屋状態ステータス
料金管理	シーズン	シーズンID、シーズン名、所属施設ID、開始日、終了日、料金倍率、説明、登録日	施設、料金カレンダー	繁忙期・閑散期に応じた料金設定、料金カレンダー自動生成に活用		シーズン区分
料金管理	レートプラン	レートプランID、プラン名、所属施設ID、部屋タイプID、基準料金、適用条件、割引率、キャンセルポリシー、最小泊数、説明、登録日	施設、部屋タイプ、料金カレンダー、予約	多様な料金プランの提供、外部OTAへのプラン配信、予約時の料金計算に活用		レートプラン種別、キャンセルポリシー種別
料金管理	料金カレンダー	カレンダーID、施設ID、部屋タイプID、対象日、レートプランID、料金、シーズンID、最終更新日時、外部連携ステータス	施設、部屋タイプ、レートプラン、シーズン	日別料金の管理、予約時の料金計算、外部OTAへの料金配信に活用		外部連携ステータス、曜日区分
予約管理	予約	予約ID、予約番号、ゲストID、部屋タイプID、部屋ID、所属施設ID、チェックイン日、チェックアウト日、宿泊人数、大人数、子供数、予約ステータス、流入元OTA、料金合計、手数料、レートプランID、特記事項、予約日時、最終更新日時	ゲスト、部屋タイプ、部屋、施設、レートプラン、宿泊者名簿、売上、在庫	予約状況の管理、カレンダー表示、在庫調整、売上計上、外部OTA連携に活用	予約状態	予約ステータス、OTA種別
予約管理	ゲスト	ゲストID、氏名、フリガナ、メールアドレス、電話番号、国籍、言語、会員番号、過去宿泊回数、登録日	予約、宿泊者名簿	予約管理、ゲスト履歴確認、リピーター分析、宿泊者名簿作成に活用
予約管理	在庫	在庫ID、施設ID、部屋タイプID、対象日、販売可能数、予約済数、残数、最終更新日時、外部連携ステータス	施設、部屋タイプ、予約	販売在庫の管理、ダブルブッキング防止、外部OTAとの在庫同期に活用	在庫状態	外部連携ステータス
宿泊者名簿管理	宿泊者名簿	名簿ID、予約ID、ゲストID、氏名、住所、郵便番号、電話番号、職業、国籍、パスポート番号、記入日時、記入ステータス、確認者スタッフID、確認日時	予約、ゲスト、スタッフ、チェックイン案内	旅館業法遵守、緊急時の滞在者確認、ゲスト情報の正確な記録に活用	宿泊者名簿記入状態	宿泊者名簿記入ステータス
宿泊者名簿管理	チェックイン案内	案内ID、予約ID、送信日時、送信先メールアドレス、トークンURL、トークン有効期限、記入完了フラグ、記入完了日時	予約、宿泊者名簿	チェックイン前の案内送信、宿泊者名簿記入依頼、記入状況の確認に活用
清掃管理	清掃	清掃ID、部屋ID、所属施設ID、清掃日、清掃ステータス、担当清掃スタッフID、開始日時、完了日時、備品不足情報、特記事項	部屋、スタッフ、部屋状態	清掃作業の進捗管理、清掃完了部屋の把握、備品管理に活用	清掃状態	清掃ステータス
清掃管理	部屋状態	部屋ID、現在ステータス、前回ステータス、最終更新日時、次回チェックイン予定日時、更新者スタッフID	部屋、清掃、予約	部屋の現在状態の把握、利用可能部屋の検索、清掃優先順位の判断に活用		部屋状態ステータス
売上分析	売上	売上ID、予約ID、施設ID、部屋タイプID、宿泊日、売上金額、OTA手数料、OTA手数料率、純利益、流入元OTA、計上日、会計期	予約、施設、部屋タイプ	売上集計、OTA別分析、ADR・OCC・RevPAR計算、対年比分析に活用		OTA種別、売上分析指標
外部連携	外部連携設定	設定ID、施設ID、サイトコントローラー種別、APIキー、APIシークレット、外部施設ID、外部部屋マッピング、同期方式（料金主導/在庫主導）、連携有効フラグ、最終同期日時	施設	外部OTAとの予約・在庫・料金の同期、サイトコントローラー変更時の設定管理に活用		サイトコントローラー種別、外部連携ステータス
